Id,Gx,Gy,Gz,Kx,Ky,Kz
102,0,0,399.21722113502955,0,0,0.10679575561301283
103,0,0,403.13111545988278,0,0,0.10784277282490512
104,0,0,407.04500978473601,0,0,0.1088897900367974
105,0,0,410.95890410958924,0,0,0.10993680724868969
106,0,0,414.87279843444247,0,0,0.11098382446058196
107,0,0,418.7866927592957,0,0,0.11203084167247425
108,0,0,422.70058708414894,0,0,0.11307785888436654
109,0,0,426.61448140900217,0,0,0.11412487609625882
110,0,0,430.5283757338554,0,0,0.11517189330815111
111,0,0,434.44227005870863,0,0,0.11621891052004338
112,0,0,438.35616438356186,0,0,0.11726592773193567
113,0,0,442.27005870841509,0,0,0.11831294494382794
114,0,0,446.18395303326832,0,0,0.11935996215572023
115,0,0,450.09784735812156,0,0,0.12040697936761251
116,0,0,454.01174168297479,0,0,0.1214539965795048
